Product Id,Weight (kg),Length (m),Width (m),Height (m)
48237,0.12,0.14,0.11,0.01
48258,0.076,0.04,0.04,0.115
48279,,0.14,0.09,0.1524
48300,0.602,0.06,0.06,0.21
48321,0,0,0,0
48342,0.4,0.2,0.14,0.07
48363,0,0,0,0
48384,2.198,0.13,0.11,0.29
48405,0,0,0,0
48426,0.166,0.19,0.05,0.04
48447,0,0,0,0
48468,0,0,0,0
48489,0,0,0,0
48510,0,0,0,0
48531,0.284,0.06,0.06,0.19
48552,0,0,0,0
48573,0.38,0.065,0.065,0.24
48594,0.38,0.085,0.05,0.22
48615,0.5,0.16,0.15,0.03
48636,1.04,0.09,0.09,0.32
48657,0,0,0,0
48678,0.518,0.07,0.07,0.13
48699,0,0,0,0
48720,0.666,0.1,0.1,0.19
48741,0.45,0.1461,0.0508,0.1842
48762,0.45,0.14,0.06,0.19
48783,0.526,0.1524,0.0508,0.1778
48804,0.5,0.15,0.06,0.22
48825,0,0,0,0
48846,0.048,0.11,0.08,0.02
48867,0.5,0.1524,0.0762,0.2794
48888,0,0,0,0
48909,0,0,0,0
48930,0.4,0.15,0.06,0.2
48951,0.514,0.11,0.11,0.13
48972,0.4,0.15,0.06,0.2
48993,0.32,0.17,0.13,0.06
49014,0.77,0.2,0.07,0.22
49035,1.076,0.1295,0.1295,0.1778
49056,0,0,0,0
49077,0,0,0,0
49098,0.16,0.098,0.098,0.055
49119,0,0,0,0
49140,0,0,0,0
49161,0,0,0,0
49182,0,0,0,0
49203,0.294,0.075,0.075,0.145
49224,0,0,0,0
49245,0,0,0,0
49266,0,0,0,0
49287,0.278,0.13,,0.13
49308,0.064,0.15,0.025,0.04
49329,0.06,0.1,0.08,0.02
49350,0.212,0.21,0.14,0.05
49371,0.256,0.17,0.11,0.06
49392,0.09,0.13,0.07,0.07
49413,0.26,0.25,0.14,0.05
49434,0.01,0.09,0.01,0.04
49455,0.45,0.12,0.12,0.18
49476,0,0,0,0
49497,1,0.23,0.13,0.29
49518,0,0,0,0
49539,0.12,0.145,0.05,0.04
49560,0.296,0.055,0.055,0.18
49581,0.304,0.0635,0.0635,0.1778
49602,0.314,0.06,0.06,0.195
49623,0.488,0.07,0.07,0.21
49644,0,0,0,0
49665,0.1,0.18,0.035,0.03
49686,0.056,0.14,0.035,0.03
49707,0.226,0.22,0.045,0.04
49728,0,0,0,0
49749,0,0,0,0
49770,0.117,0.05,0.025,0.12
49791,0,0,0,0
49812,0,0,0,0
49833,0.45,0.12,0.12,0.16
49854,0,0,0,0
49875,0.352,0.21,0.145,0.06
49896,0.35,0.065,0.065,0.13
49917,0.481,0.07,0.07,0.13
49938,1,0.23,0.16,0.05
49959,0.508,0.255,0.195,0.045
49980,1.0102,0.08,0.08,0.28
50001,0,0,0,0
50022,0.561,0.06,0.06,0.23
50043,1.48,0.08,0.08,0.285
50064,0.584,0.06,0.06,0.2286
50085,0,0,0,0
50106,0,0,0,0
50127,0.64,0.07,0.07,0.135
50148,0.55,0.1092,0.2413,0.1397
50169,0,0,0,0
50190,0.375,0.07,0.07,0.12
50211,0.5,0.065,0.065,0.135
50232,0.494,0.105,0.105,0.09
50253,0.412,0.05,0.08,0.195
50274,0.638,0.1,0.1,0.12
50295,0,,0,0
50316,0.005,,0.09,0.03
50337,0.0055,0.13,0.1,0.03
50358,0.0055,0.11,0.08,0.03
50379,0.025,0.1,0.06,0.03
50400,0.1,0.15,0.09,0.02
50421,0.058,0.12,0.085,0.02
50442,0.02,0.16,0.12,0.05
50463,0,0,0,0
50484,0.017,0.09,0.07,0.03
50505,0.0205,0.15,0.1,0.04
50526,0.0055,0.12,0.09,0.03
50547,0.03,0.05,0.05,0.21
50568,0.011,0.14,0.1,0.03
50589,0.006,0.13,0.09,0.025
50610,0.095,0.08,0.08,0.26
50631,0,0,0,0
50652,0,0,0,0
50673,0,0,0,0
50694,0,0,0,0
50715,0.006,0.13,0.11,0.03
50736,0.011,0.16,0.1,0.03
50757,0,0,0,0
50778,0,0,0,0
50799,0.0052,0.17,0.085,0.04
50820,0,0,0,0
50841,0.258,0.08,0.08,0.08
50862,0,0,0,0
50883,1.0024,0.1778,0.2032,0.0254
50904,0,0,0,0
50925,0.096,0.012,0.012,0.05
50946,0,0,0,0
50967,0.44,0.0762,0.254,0.1778
50988,0.204,0.24,0.135,0.04
51009,0.318,0.22,0.185,0.055
51030,0.296,0.22,0.06,0.19
51051,0,0,0,0
51072,0.154,0.19,0.145,0.045
51093,0.352,0.23,0.18,0.05
51114,0,0,0,0
51135,0.37,0.2,0.14,0.06
51156,0.152,0.19,0.13,0.04
51177,0,0,0,0
51198,0,0,0,0
51219,0.062,0.07,0.07,0.185
51240,0.2,0.05,0.05,0.155
51261,0.95,0.08,0.06,0.29
51282,1.9,0.0762,0.0762,0.3
51303,4.728,0.17,0.17,0.39
51324,0.016,0.13,0.03,0.03
51345,0.364,0.06,0.06,0.205
51366,0.132,0.1,0.07,0.04
51387,0.0302,0.08,0.05,0.145
51408,0.21,0.12,0.1778,0.0254
51429,1.005,0.0762,0.06,0.254
51450,0.025,0.07,0.03,0.12
51471,0.158,0.23,0.16,0.07
51492,0.08,0.09,0.05,0.03
51513,0.2,0.12,0.1778,0.0254
51534,0,0,0,0
51555,0,0,0,0
51576,0.514,0.065,0.065,0.24
51597,0,0,0,0
51618,0,0,0,0
51639,0.2,0.16,0.09,0.06
51660,0,0,0,0
51681,0,0,0,0
51702,1.01,0.2,0.04,0.3
51723,0.42,0.38,0.12,0.12
51744,0,,0,0
51765,0.278,0.065,0.04,0.108
51786,0,0,0,0
51807,0,0,0,0
51828,0,0,0,0
51849,0.29,0.06,0.06,0.24
51870,0.35,0.06,0.06,0.24
51891,1.0368,0.0889,0.0889,0.3175
51912,2.25,0.1016,0.1016,0.381
51933,0.662,0.08,0.08,0.26
51954,0.3,0.06,0.06,0.14
51975,0,0,0,0
51996,1.008,0.2,0.15,0.03
52017,0.044,0.21,0.12,0.05
52038,0.028,0.18,0.105,0.055
52059,0,0,0,0
52080,0.098,0.16,0.06,0.05
52101,0.027,0.06,0.06,0.2
52122,0.375,0.08,0.08,0.22
52143,0.116,0.05,0.03,0.155
52164,0.104,0.065,0.035,0.16
52185,0.5,0.127,0.1778,0.0508
52206,0,0,0,0
52227,1.0156,0.1,0.1,0.18
52248,0.35,0.15,0.09,0.04
52269,0.792,0.11,0.05,0.18
52290,2.007,0.33,0.21,0.03
52311,0.934,0.07,0.07,0.25
52332,1.9,0.1,0.1,
52353,4.706,0.17,0.17,0.37
52374,0.468,0.06,0.06,0.2
52395,0.4,0.18,0.08,0.22
52416,0,0,0,0
52437,0,0,0,0
52458,0,0,0,0
52479,0,0,0,0
52500,0,0,0,0
52521,0,0,0,0
52542,0,0,0,0
52563,0.15,0.12,0.06,0.03
52584,0.126,0.1,0.065,0
52605,0.13,0.05,0.05,0.175
52626,0.05,0.165,0.035,0.025
52647,0.132,0.08,0.03,0.155
52668,0.244,0.1,0.038,0.2
52689,1.009,0.07,0.06,0.25
52710,0,0,0,0
52731,0.27,0.18,0.12,0.04
52752,0.55,0.09,0.05,0.26
52773,0.078,0.055,0.05,0.12
52794,0.031,0.1,0.06,0.03
52815,0.0564,0.06,0.06,0.24
52836,0.81,0.065,0.065,0.22
52857,0.084,0.08,0.08,0.29
52878,0.22,0.081,0.081,0.043
52899,0.13,0.11,0.05,0.03
52920,0.5,0.127,0.127,0.0254
52941,0.14,0.23,0.11,0.08
52962,0.076,0.21,0.11,0.07
52983,0.762,0.08,0.08,0.245
53004,0,0,0,0
53025,0,0,0,0
53046,0.05,0.06,0.06,0.06
53067,0,0,0,0
53088,0,0,0,0
53109,0,0,0,0
53130,0,0,0,0
53151,0,0,0,0
53172,0.136,0.075,0.07,0.065
53193,0.258,0.08,0.08,0.145
53214,0,0,0,0
53235,,0.08,0.08,0.102
53256,0.205,0.075,0.075,0.105
53277,0.218,0.21,0.075,0.045
53298,0.56,0.155,0.155,0.06
53319,0,0,0,0
53340,0,0,0,0
53361,0.057,0.15,0.12,0.05
53382,0.35,0.0762,0.0762,0.1651
53403,0,0,0,0
53424,0,0,0,0
53445,0,0,0,0
53466,0.48,0.0914,0.0914,0.1905
53487,0,0,0,0
53508,0,0,0,0
53529,0.466,0.105,0.105,0.185
53550,0.474,0.105,0.105,0.18
53571,0,0,0,0
53592,0,0,0,0
53613,0.208,0.08,0.08,0.25
53634,0.219,0.08,0.08,0.25
53655,0.218,0.075,0.075,0.243
53676,0.471,0.07,0.07,0.195
53697,0,0,0,0
53718,0,0,0,0
53739,0.0816,0.066,0.066,0.3556
53760,0.514,0.07,0.07,0.31
53781,0,0,0,0
53802,0,0,0,0
53823,0,0,0,0
53844,1.01,0.075,0.07,0.24
53865,0.268,0.055,0.055,0.145
53886,0.0268,0.06,0.06,0.14
53907,0.0266,0.055,0.055,0.155
53928,0,0,0,0
53949,0.262,0.05,0.05,0.13
53970,0,0,0,0
53991,0,0,0,0
54012,0,0,0,0
54033,0,0,0,0
54054,0,0,0,0
54075,0,0,0,0
54096,0,0,0,0
54117,0,0,0,0
54138,0,0,0,0
54159,1.06,0.095,0.06,0.2
54180,0.104,0.065,0.065,0.125
54201,0,0,0,0
54222,0,0,0,0
54243,0.5,0.09,0.09,0.2
54264,0,0,0,0
54285,0.0448,0.07,0.07,0.24
54306,0.268,0.055,0.055,0.25
54327,0,0,0,0
54348,0,0,0,0
54369,0.28,0.06,0.06,0.24
54390,0.28,0.06,0.06,0.23
54411,0.4,0.06,0.06,0.24
54432,0,0,0,0
54453,0,0,0,0
54474,0,0,0,0
54495,0,0,0,0
54516,0,0,0,0
54537,0,0,0,0
54558,0,0,0,0
54579,0,0,0,0
54600,0,0,0,0
54621,0,0,0,0
54642,0,0,0,0
54663,1,0,0,0
54684,0.512,0.07,0.07,0.19
54705,0,0,0,0
54726,0,0,0,0
54747,0.272,0.15,0.08,0.08
54768,0.501,0.18,0.11,0.08
54789,0,0,0,0
54810,0,0,0,0
54831,0,0,0,0
54852,0,0,0,0
54873,0,0,0,0
54894,0,0,0,0
54915,0.256,0.08,0.08,0.1
54936,0,0,0,0
54957,0,0,0,0
54978,0.074,0.2,0.04,0.02
54999,0,0,0,0
55020,0.6,0.21,0.17,0.04
55041,0.224,0.17,0.13,0.05
55062,0,0,0,0
55083,0,0,0,0
55104,0,0,0,0
55125,0.214,0.11,0.24,0.06
55146,0,0,0,0
55167,0,0,0,0
55188,0.31,0.085,0.085,0.23
55209,0,0,0,0
55230,0,0,0,0
55251,0,0,0,0
55272,0,0,0,0
55293,0,0,0,0
55314,0,0,0,0
55335,0,0,0,0
55356,0,0,0,0
55377,2.05,0.31,0.21,0.06
55398,2.04,0.31,0.22,0.06
55419,1.792,0.21,0.04,0.3
55440,0,0,0,0
55461,0,0,0,0
55482,0.386,0.125,0.02,0.33
55503,0.622,0.2,0.31,0.02
55524,0,0,0,0
55545,0.01,0.15,0.1,0.01
55566,0.062,0.45,0.15,0.22
55587,0.1,0.02,0.11,0.05
55608,0.192,0.125,0.055,0.035
55629,0.045,0.06,0.04,0.02
55650,0.158,0.11,0.065,0.045
55671,0.342,0.125,0.055,0.11
55692,0.192,0.02,0.39,0.26
55713,0.28,0.38,0.26,0.01
55734,0,0,0,0
55755,0,0,0,0
55776,0.194,0.09,0.1,0.04
55797,0.144,0.18,0.13,0.03
55818,0.268,0.16,0.04,0.2
55839,0.56,0.02,0.22,0.285
55860,0.4,0.221,0.01,0.28
55881,0.064,0.084,0.015,0.1
55902,0.024,0.06,0.02,0.01
55923,0.012,,0.01,0.02
55944,0,0,0,0
55965,0,0,0,0
55986,0.002,0.15,0.12,0.05
56007,0.178,0.245,0.01,0.0315
56028,0.01,0.28,0.13,0.001
56049,0.28,0.35,0.29,0.02
56070,0.032,0.17,0.035,0.02
56091,0.003,0.11,0.02,0.02
56112,0.048,0.21,0.085,0.01
56133,0.004,0.17,0.08,0.01
56154,0,0,0,0
56175,0,0,0,0
56196,0,0,0,0
56217,0.082,0.18,0.14,0.01
56238,0,0,0,0
56259,0.22,0.115,0.085,0.102
56280,0.09,0.085,0.09,0.12
56301,0.4,0.33,0.05,0.03
56322,0,0,0,0
56343,0,0,0,0
56364,0.196,0.06,0.06,0.045
56385,0.268,0.12,0.035,0.2
56406,0,0,0,0
56427,0.646,0.27,0.22,0.025
56448,0.012,0.15,0.02,0.02
56469,0.016,0.14,0.015,0.015
56490,0,0,0,0
56511,0.052,0.08,0.05,0.03
56532,0.1,0.15,0.02,0.02
56553,0.36,0.07,0.04,0.045
56574,0,0,0,0
56595,0,0,0,0
56616,0,0,0,0
56637,0,0,0,0
56658,0,0,0,0
56679,0,0,0,0
56700,0,0,0,0
56721,0,0,0,0
56742,0.404,0.285,0.05,0.385
56763,0.624,0.4,0.04,0.29
56784,0.246,0.25,0.09,0.29
56805,0.28,0.11,0.27,0.3
56826,0,0,0,0
56847,0,0,0,0
56868,0,0,0,0
